区分,幼稚園_公立,幼稚園_私立,小学校_公立,小学校_私立,中学校_公立,中学校_私立,高等学校_全日制_公立,高等学校_全日制_私立
学習費総額,223647,527916,321281,1598691,488397,1406433,457380,969911
学校教育費,120738,331378,63102,904164,138961,1071438,280487,719051
　授業料,66206,211076,,485337,,428574,25378,230026
　修学旅行・遠足・見学費,2492,3494,6951,44816,26217,82578,35579,53999
　学級・児童会・生徒会費,5627,703,7578,16493,6834,18950,20385,18179
　PTA会費,4962,6885,3058,11485,3863,13290,6989,11360
　その他の学校納付金,2118,46820,1585,188525,6005,255578,27771,183518
　寄附金,4,347,14,14922,56,17312,215,2942
　教科書費・教科書以外の図書費,1370,2360,2546,6880,5855,22550,22432,23455
　学用品・実験実習材料費,7203,10081,17127,25175,19558,27648,18826,19220
　教科外活動費,460,2541,2041,10507,29308,55796,40427,56224
　通学費,5831,18052,1391,39283,8411,80656,45866,73402
　制服,3113,8075,2554,31991,19023,43478,22613,30275
　通学用品費,11745,10372,14087,19475,10232,16631,10953,10366
　その他,9607,10572,4170,9275,3599,8397,3053,6085
学校給食費,19014,30880,43728,47638,42945,3731,,
学校外活動費,83895,165658,214451,646889,306491,331264,176893,250860
　補助学習費,22564,48229,82469,348385,243589,220346,147875,193945
　　家庭内学習費,11340,14761,14761,45480,13229,28534,16769,27205
　　　物品費,6175,6564,8284,22091,5286,13819,7599,12624
　　　図書費,5165,8197,6477,23389,7943,14715,9170,14581
　　家庭教師費等,3036,5091,13015,42560,20777,31174,12836,20020
　　学習塾費,7788,27401,53313,252790,202965,153365,106884,129313
　　その他,400,976,1380,7555,6618,7273,11386,17407
　その他の学校外活動費,61331,117429,131982,298504,62902,110918,29018,56915
　　体験活動・地域活動,1601,4901,4342,22789,1484,10040,2140,6098
　　芸術文化活動,14735,28514,35402,95712,15865,45181,8507,14596
　　　月謝等,10635,20090,25621,70469,11889,27393,6077,9921
　　　その他,4100,8424,9781,25243,3976,17788,2430,4675
　　スポーツ・レクリエーション活動,25849,49120,55002,82902,29167,24358,5784,15101
　　　月謝等,23365,45101,42388,68793,15572,15392,2890,9225
　　　その他,2484,4019,12614,14109,13595,8966,2894,5876
　　教養・その他,19146,34894,37236,97101,16386,31339,12587,21120
　　　月謝等,11662,22484,27239,66642,9676,13102,4633,6172
　　　図書費,1662,3281,3362,13335,2481,6274,2213,3586
　　　その他,5822,9129,6635,17124,4229,11963,5741,11362
